iter	Passed	Remaining
0	92	92188
1	93	46528
2	94	31264
3	94	23609
4	95	19014
5	96	15949
6	96	13746
7	97	12099
8	98	10821
9	99	9809
10	99	8970
11	100	8263
12	100	7662
13	101	7142
14	101	6689
15	102	6293
16	102	5941
17	103	5628
18	103	5348
19	104	5107
20	104	4882
21	105	4677
22	105	4490
23	106	4316
24	106	4157
25	107	4012
26	107	3876
27	108	3750
28	108	3633
29	108	3522
30	109	3419
31	109	3323
32	110	3233
33	110	3150
34	111	3070
35	111	2995
36	112	2923
37	112	2855
38	113	2791
39	113	2729
40	114	2671
41	114	2615
42	115	2562
43	115	2511
44	116	2462
45	117	2429
46	117	2386
47	118	2343
48	118	2302
49	119	2264
50	119	2228
51	120	2194
52	120	2160
53	121	2128
54	122	2096
55	122	2066
56	123	2037
57	123	2009
58	124	1981
59	124	1953
60	125	1925
61	125	1899
62	126	1874
63	126	1850
64	126	1826
65	127	1803
66	127	1781
67	128	1760
68	128	1739
69	129	1719
70	130	1701
71	130	1681
72	130	1663
73	131	1647
74	132	1632
75	133	1618
76	133	1603
77	134	1586
78	134	1571
79	135	1556
80	136	1543
81	136	1529
82	136	1512
83	137	1498
84	137	1484
85	138	1471
86	139	1458
87	139	1446
88	140	1433
89	140	1421
90	141	1409
91	141	1399
92	142	1388
93	142	1377
94	143	1366
95	143	1355
96	144	1344
97	144	1334
98	145	1324
99	146	1314
100	146	1304
101	147	1295
102	147	1287
103	148	1279
104	149	1270
105	149	1261
106	150	1253
107	150	1244
108	151	1236
109	151	1228
110	152	1220
111	152	1211
112	153	1203
113	153	1196
114	154	1189
115	155	1182
116	155	1173
117	156	1166
118	156	1159
119	157	1152
120	157	1145
121	158	1137
122	158	1130
123	159	1123
124	159	1117
125	160	1110
126	160	1103
127	161	1097
128	161	1093
129	162	1087
130	163	1081
131	163	1076
132	164	1071
133	164	1064
134	165	1059
135	165	1053
136	166	1047
137	166	1042
138	167	1037
139	167	1031
140	168	1026
141	168	1019
142	169	1014
143	169	1009
144	170	1004
145	170	999
146	171	993
147	171	988
148	172	984
149	172	979
150	173	974
151	173	970
152	174	965
153	174	960
154	175	956
155	176	952
156	176	948
157	177	943
158	177	939
159	178	934
160	178	929
161	178	925
162	179	921
163	180	918
164	180	914
165	181	910
166	181	907
167	182	903
168	183	899
169	183	896
170	184	892
171	184	888
172	185	885
173	185	882
174	186	878
175	186	874
176	187	871
177	187	867
178	188	864
179	189	861
180	189	857
181	190	854
182	190	850
183	191	847
184	191	843
185	192	841
186	193	839
187	193	836
188	194	834
189	194	831
190	195	828
191	196	825
192	196	822
193	197	820
194	198	817
195	198	815
196	199	812
197	199	809
198	200	807
199	201	805
200	202	803
201	202	800
202	203	798
203	204	796
204	204	794
205	205	792
206	206	789
207	207	788
208	207	786
209	208	784
210	209	781
211	209	779
212	210	777
213	211	776
214	212	774
215	212	772
216	213	769
217	213	767
218	214	764
219	214	762
220	215	759
221	216	757
222	216	754
223	217	752
224	217	750
225	218	748
226	218	745
227	219	743
228	220	741
229	220	739
230	221	737
231	222	735
232	222	732
233	223	730
234	223	728
235	224	725
236	224	723
237	225	721
238	225	718
239	226	716
240	226	714
241	227	712
242	227	709
243	228	707
244	228	705
245	229	703
246	230	701
247	230	699
248	231	697
249	231	695
250	232	693
251	232	690
252	233	688
253	233	686
254	234	684
255	234	681
256	235	679
257	235	677
